delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
none,rotation_shear,exponential,0.9,9000,2,24,6,0,0,0.00010718159582255925,10964.38153262363
none,rotation_shear,exponential,0.9,9000,3,24,6,0,0,0.00011629365568857659,10124.428079500922
none,rotation_shear,exponential,0.9,9000,4,24,6,0,0,0.00011788386494124352,9990.0441680955
none,rotation_shear,exponential,0.9,9000,5,24,6,0,0,0.00011807899873646155,9974.771618233553
none,independent,equalized,0.0,9000,0,12,3,12,3,0.0003920710656846495,2621.5679717146563
none,independent,equalized,0.0,9000,1,24,3,12,0,0.00017064251522589318,6856.235513207697
none,independent,equalized,0.0,9000,2,24,6,0,3,0.0002592936169286485,5438.219067420801
none,independent,equalized,0.0,9000,3,24,6,0,0,0.00031920540171104266,4548.2220237413185
none,independent,equalized,0.0,9000,4,24,6,0,0,0.000522057445091361,3117.257933277153
none,independent,equalized,0.0,9000,5,24,9,0,3,0.0007450678366138283,2406.0144140296175
none,independent,exponential,0.3,9000,0,12,3,12,3,0.0003920710656846495,2621.5679717146563
none,independent,exponential,0.3,9000,1,24,3,12,0,0.00015659742743898044,6975.673819468042
none,independent,exponential,0.3,9000,2,24,3,0,0,0.00019341138288875864,5952.75886791283
none,independent,exponential,0.3,9000,3,24,3,0,0,0.00020997054445589868,5530.212039603605
none,independent,exponential,0.3,9000,4,24,3,0,0,0.00026054505528698863,4481.0373550446075
none,independent,exponential,0.3,9000,5,24,3,0,0,0.0002782155933136705,4256.6637358889575
none,independent,exponential,0.6,9000,0,12,3,12,3,0.0003920710656846495,2621.5679717146563
none,independent,exponential,0.6,9000,1,24,3,12,0,0.0001371996180895562,7721.172139546058
none,independent,exponential,0.6,9000,2,24,3,0,0,0.00015125344985976214,7126.081362463694
none,independent,exponential,0.6,9000,3,24,3,0,0,0.0001556568051593231,6938.871632522439
none,independent,exponential,0.6,9000,4,24,3,0,0,0.00016181025396707133,6679.570535792022
none,independent,exponential,0.6,9000,5,24,3,0,0,0.00016325791984207232,6625.736229043745
none,independent,exponential,0.9,9000,0,12,3,12,3,0.0003920710656846495,2621.5679717146563
none,independent,exponential,0.9,9000,1,24,3,12,0,0.00011429140875205349,9134.81755801886
none,independent,exponential,0.9,9000,2,24,3,0,0,0.00011994628151028902,8753.548671421755
none,independent,exponential,0.9,9000,3,24,3,0,0,0.00012111538906745867,8672.236493217262
none,independent,exponential,0.9,9000,4,24,3,0,0,0.0001217220348078891,8629.627596964387
none,independent,exponential,0.9,9000,5,24,3,0,0,0.00012182963535197779,8622.365773856403
constant,identical,equalized,0.0,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,identical,equalized,0.0,9000,1,12,7,0,4,0.005898931841151337,251.63008002616075
constant,identical,equalized,0.0,9000,2,12,8,0,1,0.03408190200742883,53.16997456144483
constant,identical,equalized,0.0,9000,3,12,9,0,1,0.1516654117437226,13.751579260270756
constant,identical,equalized,0.0,9000,4,12,10,0,1,0.48985278752071065,4.67120712889603
constant,identical,equalized,0.0,9000,5,12,12,0,2,1.0397871873201108,2.324569658291858
constant,identical,exponential,0.3,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,identical,exponential,0.3,9000,1,12,6,0,3,0.004854201935461965,269.14807372485245
constant,identical,exponential,0.3,9000,2,12,6,0,0,0.022171573835811847,64.15711417539293
constant,identical,exponential,0.3,9000,3,12,7,0,1,0.0726165117230298,20.382406209613702
constant,identical,exponential,0.3,9000,4,12,7,0,0,0.1664898771234927,9.031800259500852
constant,identical,exponential,0.3,9000,5,12,7,0,0,0.2682850318557596,5.623180451697127
constant,identical,exponential,0.6,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,identical,exponential,0.6,9000,1,12,5,0,2,0.004109571578890925,291.45272410325947
constant,identical,exponential,0.6,9000,2,12,5,0,0,0.0147347463221499,83.8439894584015
constant,identical,exponential,0.6,9000,3,12,5,0,0,0.03557915762761737,34.9782333411627
constant,identical,exponential,0.6,9000,4,12,5,0,0,0.05970401877336861,20.872159991243393
constant,identical,exponential,0.6,9000,5,12,5,0,0,0.07596065159473937,16.40703973509871
constant,identical,exponential,0.9,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,identical,exponential,0.9,9000,1,12,5,0,2,0.0035684577037674707,317.6850345298183
constant,identical,exponential,0.9,9000,2,12,5,0,0,0.009856960977399649,116.20612558270987
constant,identical,exponential,0.9,9000,3,12,5,0,0,0.01783571455386862,64.29157156710427
constant,identical,exponential,0.9,9000,4,12,5,0,0,0.02339853232386177,49.009958730980316
constant,identical,exponential,0.9,9000,5,12,5,0,0,0.025638064295286676,44.72891890336414
constant,rotation,equalized,0.0,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,rotation,equalized,0.0,9000,1,24,7,12,4,0.00027420864266492075,5340.9763791429605
constant,rotation,equalized,0.0,9000,2,24,8,0,1,0.0022637232549845465,775.4696279103157
constant,rotation,equalized,0.0,9000,3,24,10,0,2,0.011764993186548034,165.80270242407357
constant,rotation,equalized,0.0,9000,4,24,12,0,2,0.04080625491535418,49.95869475642643
constant,rotation,equalized,0.0,9000,5,24,14,0,2,0.05409928165686652,39.33658412166564
constant,rotation,exponential,0.3,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,rotation,exponential,0.3,9000,1,24,5,12,2,0.0002712718711107164,4756.78684879219
constant,rotation,exponential,0.3,9000,2,24,5,0,0,0.0019709560416669575,702.6498668460819
constant,rotation,exponential,0.3,9000,3,24,6,0,1,0.007479892781165277,189.19795516667565
constant,rotation,exponential,0.3,9000,4,24,6,0,0,0.017926691306755418,79.26841493617883
constant,rotation,exponential,0.3,9000,5,24,6,0,0,0.02280583647383739,62.448094223594666
