reading,arm,readout,snr,source_seed,rule,hyperparameter,nrmse,visible_component_error,null_component_error,data_residual
B_cells6_screen2,resolved_identical,resolved,-1.0,300000,oracle,2.868316813342009e-07,0.526413949221849,1.5331261111364345e-05,0.8098016390874256,1.6396337115045978e-06
B_cells6_screen2,resolved_identical,resolved,-1.0,300000,gcv,1e-10,0.5264142683098473,5.3453221543226384e-09,0.8098021302003152,5.716654186988203e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300001,oracle,1e-10,0.4555706954056709,1.786760851452148e-09,0.9451980883180905,3.9348750561433107e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300001,gcv,1e-10,0.4555706954056709,1.786760851452148e-09,0.9451980883180905,3.9348750561433107e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300002,oracle,1e-10,0.5348312395206789,5.772563560256212e-09,0.8379101052476192,6.676772537688585e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300002,gcv,1e-10,0.5348312395206789,5.772563560256212e-09,0.8379101052476192,6.676772537688585e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300003,oracle,2.868316813342009e-07,0.48176535459567404,2.6808461229708887e-05,0.8782595878420907,3.6245620308985183e-06
B_cells6_screen2,resolved_identical,resolved,-1.0,300003,gcv,1e-10,0.4817668921638595,9.346845445239407e-09,0.8782623918773637,1.2637126954566704e-09
B_cells6_screen2,resolved_identical,resolved,-1.0,300004,oracle,1e-10,0.48493316316207624,9.117728097443355e-09,0.7212254998735682,9.228088178394678e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300004,gcv,1e-10,0.48493316316207624,9.117728097443355e-09,0.7212254998735682,9.228088178394678e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300005,oracle,4.075392965871778e-10,0.45951822308075474,1.252384688147632e-08,0.7672567728086239,1.6864763185462897e-09
B_cells6_screen2,resolved_identical,resolved,-1.0,300005,gcv,1e-10,0.4595183297599967,3.073059593457337e-09,0.767256950930768,4.1382103221502224e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300006,oracle,1e-10,0.5444721471601146,2.651698037789829e-09,0.7929885582793487,3.3909824315834284e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300006,gcv,1e-10,0.5444721471601146,2.651698037789829e-09,0.7929885582793487,3.3909824315834284e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300007,oracle,1e-10,0.45075243891343514,5.176111959477392e-09,0.7030515073585372,6.552083753492438e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300007,gcv,1e-10,0.45075243891343514,5.176111959477392e-09,0.7030515073585372,6.552083753492438e-10
B_cells6_screen2,resolved_identical,resolved,100.0,300000,oracle,24.537511066398267,0.527119929527361,0.03207635603954494,0.8098016388666738,16.812006882414686
B_cells6_screen2,resolved_identical,resolved,100.0,300000,gcv,9.617248711152984,0.527380532334055,0.03753721221565744,0.8098016388672984,16.800439793180296
B_cells6_screen2,resolved_identical,resolved,100.0,300000,discrepancy,100.0,0.5304450945934501,0.07676922674997659,0.8098016388664089,16.94701406335791
B_cells6_screen2,resolved_identical,resolved,100.0,300001,oracle,2.551406520031293e-10,0.4480058526091603,0.04874315960067255,0.9251329323435038,15.634783367980003
B_cells6_screen2,resolved_identical,resolved,100.0,300001,gcv,15.361749466718296,0.4571800196594552,0.04302853711278939,0.9452020040906061,15.638153623860903
B_cells6_screen2,resolved_identical,resolved,100.0,300001,discrepancy,100.0,0.45663399989981174,0.03495447023786748,0.9452020040910246,15.74298967950375
B_cells6_screen2,resolved_identical,resolved,100.0,300002,oracle,1e-10,0.45747718621138495,0.05127749355927218,0.7134992791885564,16.75666134335205
B_cells6_screen2,resolved_identical,resolved,100.0,300002,gcv,9.617248711152984,0.5366575318575808,0.052327055595848326,0.837912976849778,16.75941458440244
B_cells6_screen2,resolved_identical,resolved,100.0,300002,discrepancy,100.0,0.543207524564412,0.11245033943810893,0.8379129768514577,16.94394718783407
B_cells6_screen2,resolved_identical,resolved,100.0,300003,oracle,0.0003224590545296398,0.4826125603075752,0.03261808341062311,0.8782596364852986,16.734817129952607
B_cells6_screen2,resolved_identical,resolved,100.0,300003,gcv,2.3598334667821987,0.4828424939149811,0.036783970963083217,0.8782595869318546,16.735392291694893
