reading,arm,readout,spatial,source_dimension,data_dimension,restricted_dimension,numerical_rank,nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,effective_rank,trace_information,restricted_rank,restricted_nullity,restricted_sigma_min,restricted_kappa_positive,restricted_status
A_screen6_cells2,resolved_identical,resolved,identical,88,864,-1,88,0,2.4672886342814224,0.06572708041739299,37.53838780930421,33.82530514196564,67.46437121697372,205.91199170994145,-1,-1,,,NOT_CONSTRUCTIBLE: cannot build 4 DCT modes on an axis of length 2
A_screen6_cells2,resolved_diverse,resolved,rotation_shear,88,864,-1,88,0,2.5514974470474647,0.03703196912890418,68.89985888047123,33.825045290042546,68.28056270178297,220.20575403843247,-1,-1,,,NOT_CONSTRUCTIBLE: cannot build 4 DCT modes on an axis of length 2
A_screen6_cells2,unresolved_diverse,unresolved,rotation_shear,88,144,-1,48,40,1.7484025379883423,0.3760301894728687,4.649633425548384,12.00589542375061,42.70554339408548,36.70095900640541,-1,-1,,,NOT_CONSTRUCTIBLE: cannot build 4 DCT modes on an axis of length 2
B_cells6_screen2,resolved_identical,resolved,identical,264,288,24,88,176,1.2597066374224533,0.04697599114613899,26.815967192764383,43.25352925417242,69.02040114249588,68.63733056998055,12,12,0.07596065159473937,16.40703973509871,ok
B_cells6_screen2,resolved_diverse,resolved,rotation_shear,264,288,24,216,48,1.3199443649094005,0.00026507239420585653,4979.561786748435,45.61262336777371,118.3395299546453,79.46873566836742,24,0,0.009879810742804007,132.25375366782023,ok
B_cells6_screen2,unresolved_diverse,unresolved,rotation_shear,264,48,24,48,216,0.886142694363887,0.24455673259081176,3.6234647272891327,16.866995552034272,43.81804747972272,13.24478927806123,22,2,5.2415061698806337e-08,16840114.99472248,ok
